SIGLA	NOME CONFERÊNCIA	Qualis
ICPE	International Conference on Performance Engineering	A2
ICPP	International Conference on Parallel Processing	A1
ICPR	International Conference on Pattern Recognition	A2
ICRA	IEEE International Conference on Robotics and Automation	B1
ICSC	International Conference on Semantic Computing	B1
ICSE	International Conference on Software Engineering	A1
ICSEA	IARIA International Conference on Software Engineering Advances	B5
ICSI	International Conference on Swarm Intelligence	B1
ICSME	IEEE International Conference on Software Maintenance and Evolution	A1
ICSNC	IARIA International Conference on Systems and Networks Communications	B5
ICSOB	International Conference on Software Business	B2
ICSOC	International Conference on Service Oriented Computing	A2
ICSOFT	International Conference on Software and Data Technologies	B2
ICSR	International Conference on Software Reuse	B2
ICSSSM	International Conference on Service Systems and Service Management	B2
ICST	International Conference on Sensing Technology	B1
ICST	IEEE International Conference on Software Testing, Verification and Validation	A2
ICT	International Conference on Telecommunications	B1
ICTAC	International Colloquium on Theoretical Aspects of Computing	B2
ICTAI	IEEE International Conference on Tools with Artificial Intelligence	B1
ICTIR	International Conference on the Theory of Information Retrieval	B2
ICTON	International Conference on Transparent Optical Networks	B1
ICTSS	IFIP International Conference on Testing Software and Systems	B2
ICUAS	International Conference on Unmanned Aircraft Systems	B3
ICUMT	International Conference on Ultra Modern Telecommunications	B3
ICVR	International Conference on Virtual Rehabilitation	B2
ICVS	International Conference on Computer Vision Systems	B1
ICWE	International Conference on Web Engineering	B1
ICWMC	IARIA International Conference on Wireless and Mobile Communications	B5
ICWN	WC International Conference on Wireless Networks	B5
ICWS	IEEE International Conference on Web Services	A2
ICWSM	International AAAI Conference on Weblogs and Social Media	A1
IDC	International Symposium on Intelligent Distributed Computing	B2
IDCS	International Conference on Internet and Distributed Computing Systems	B3
IDEAL	International Conference on Intelligent Data Engineering and Automated Learning	B2
IDEAS	International Database Engineering and Applications Symposium	B2
IEA/AIE	International Conference on Industrial Engineering & Other Applications of Applied Intelligence Systems	B3
IECON	Annual Conference of the IEEE Industrial Electronics Society	B2
IEEEE CLOUD	"IEEE International Conference on Cloud Computing "	A1
IA	IEEE Symposium on Intelligent Agents	B4
IEEENANO	International Conference on Nanotechnology	B1
SCC	IEEE International Conference on Services Computing	A2
iEMSs	International Congress on Environmental Modelling & Software	B5
IFAC	World Congress of the International Federation  of Automatic Control	B2
IFM	International Conference on Integrated Formal Methods	B2
IFUZZY	International Conference on Fuzzy Theory and its Applications	B3
IGARSS	IEEE International Geoscience and Remote Sensing Symposium	B2
IGIC	IEEE International Games Innovation Conference	B2
IHM	Conférence Francophone sur l’Interaction Homme-Machine	B3
IHC	IHC'2016	B2
IHC	Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais	B2
IISA	International Conference on Information, Intelligence, Systems and Applications	B2
IISWC	IEEE International Symposium on Workload Characterization	A2
iiWAS	International Conference on Information Integration and Web-based Applications & Services	B1
IJCAI	International Joint Conference on Artificial Intelligence	A1
IJCCI	International Joint Conference on Computational Intelligence	B3
IJCNN	IEEE International Joint Conference on Neural Networks	A1
IM	IFIP/IEEE International Symposium on Integrated Network Management	A2
IMC	ACM Internet Measurement Conference	A1
IMIS	International Conference on Innovative Mobile and Internet Services in Ubiquitous Computing	A2
