SIGLA   NOMECONFERENCIA        Qualis
GeoPROCESSING-IARIA	IARIA International Conference on Advanced Geographic Information Systems Applications and Services	B5
GI	Graphics Interface Conference	B1
GIIS	Global Information Infrastructure and Networking Symposium	B2
GIS	ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems	A1
GLOBALDEV	Workshop of the AIS Special Interest Group for ICT in Global Development	B5
GLOBALSIP	Global Conference on Signal and Information Processing	B1
GLOBECOM	IEEE Global Communications Conference	A1
GLVLSI	ACM Great Lakes Symposium on VLSI	B1
GPC	International Conference on Grid And Pervasive Computing	B2
GPCE	ACM International Conference on Generative Programming: Concepts and Experiences	B2
GraphQ	International Workshop on Querying Graph Structured Data (EDBT)	B4
GRAPP	International Conference on Computer Graphics Theory and Applications	B1
GREC	International Workshop on Graphic Recognition: Current Trends and Challenges	B2
GreenCom	IEEE International Conference on Green Computing and Communications	B2
GREENS	International Workshop on Green and Sustainable Software	B4
GROUP	International Conference on Supporting Group Work	B2
GTVMT	International Workshop on Graph Transformation and Visual Modeling Techniques	B4
HAI	International Workshop on Human Aspects in Ambient Intelligence	B4
HAIS	International Conference on Hybrid Artificial Intelligence Systems	B1
HASE	IEEE International Symposium on High Assurance Systems Engineering	B1
HCI	International Conference on Human-Computer Interaction	B2
HCI3P	Workshop on Human Computer Interaction in Third Places	B4
HCIST	International Conference on Health and Social Care Information Systems and Technologies	B3
HCOMP	Conference on Human Computation and Crowdsourcing	B1
HCSE	International Working Conference on Human-Centred Software Engineering	B3
HEALTHCOM	IEEE International Conference on E-health Networking Application & Services	B2
HEALTHINF	International Conference on Health Informatics	B5
HICSS	Hawaii International Conference on System Sciences	A1
HIMI-HCI	Human Interface and the Management of Information Thematic Area	B2
HIPC	IEEE International Conference on High Performance Computing	B1
HIS	International Conference on Hybrid Intelligent Systems	B2
HLT	International Conference Baltic Human Language Technology	A1
HM	International Workshop on Hybrid Metaheuristics	B2
HOST	IEEE International Symposium on Hardware Oriented Security and Trust	B1
HOTNETS	ACM Workshop on Hot Topics in Networks	A1
HPCA	IEEE International Symposium on High Performance Computer Architecture	A1
HPCB	International Workshop on High Performance Computing on Bioinformatics	B4
HPCC	International Conference on High Performance Computing and Communications	A2
HPCS	International Conference on High Performance Computing & Simulation	B1
HPDC	International Symposium on High Performance Distributed Computing	A1
HPG	High-Performance Graphics	B5
HPPN	Workshop on High Performance and Programmable Networking	B5
HR	Workshop on Hybrid Reasoning	B4
HT	ACM Conference on Hypertext and Social Media	A2
HUMANCOM	International Conference on Human-centric Ubiquitous Computing and Applications	B5
HVC	International Haifa Verification Conference	B1
I2MTC	IEEE International Instrumentation and Measurement Technology Conference	A2
I3D	ACM Symposium on Interactive 3D Graphics and Games	A2
IAS	Industry Applications Society Annual Meeting	B2
IAT	IEEE/WIC/ACM International Conference on Intelligent Agent Technology	B1
IBERAMIA	Ibero-American Conference on Artificial Intelligence	B2
IbPRIA	Iberian Conference on Pattern Recognition and Image Analysis	B2
IC3K	"International Joint Conference on Knowledge Discovery	 Knowledge Engineering and Knowledge Management"	B4
ICA3PP	International Conference on Algorithms and Architectures for Parallel Processing	B1
ICAART	International Conference on Agents and Artificial Intelligence	B1
ICAIS	International Conference on Adaptive and Intelligent Systems	B3
ICAISC	International Conference on Artificial Intelligence and Soft Computing	A2
ICAIWC	International Conference on Artificial Intelligence	B5
ICALT	IEEE International Conference on Advanced Learning Technologies	B1
ICANN	International Conference on Artificial Neural Networks	B1
ICAPS	International Conference on Automated Planning and Scheduling	A2
ICAR	International Conference on Advanced Robotics	B1
ICARSC	IEEE International Conference on Autonomous Robot Systems and Competitions	B5
ICARV	International Conference on Control Automation Robotics and Vision	B1
ICAS-IARIA	IARIA International Conference on Autonomic and Autonomous Systems	B5
ICASSP	IEEE International Conference on Acoustics Speech and Signal Processing	A1
ICAT	International Conference on Artificial Reality and Telexistence	B2
ICB	International Conference on Biometrics	A2
ICC	IEEE International Conference on Communications	A1
ICCA	IEEE International Conference on Control and Automation	B1
ICCAD	IEEE/ACM International Conference on ComputerAided Design	A1
ICCCC	International Conference on Computers Communications and Control	B4
ICCCN	International Conference on Computer Communications and Networks	A2
ICCD	International Conference on Computer Design	A2
ICCDCS	International Caribbean Conference on Devices Circuits and Systems	B5
ICCE	IEEE International Conference on Consumer Electronics	B2
ICCEBerlin	IEEE International Conference on Consumer Electronics Berlin	B3
ICCETaiwan	IEEE International Conference on Consumer Electronics Taiwan	B5
ICCIC	International Conference on Computational Intelligence and Computing Research	B2
ICCL2	International Conference on Computational Logistics	B2
ICCNC	"International Conference on Computing	 Networking and Communications"	A2
ICCP	IEEE International Conference on Intelligent Computer Communication and Processing	B1
ICCPS	International Conference on Cyber-Physical Systems	B2
ICCRTS	International Command and Control Research and Technology Symposium	B5
ICCS	International Conference on Computational Science	A1
ICCSA	International Conference on Computational Science and Its Applications	B1
